"site","date_time","ampl_mean"
"B112","20230507_234800",0.00229945408655764
"B112","20230507_235400",0.00206334452094706
"B113","20230507_000000",0.00239079710110253
"B113","20230507_000600",0.00289610633765368
"B113","20230507_001200",0.0023813403459368
"B113","20230507_001800",0.00283611476053726
"B113","20230507_002400",0.00326020139916445
"B113","20230507_003000",0.00249094910515684
"B113","20230507_003600",0.00239209093771206
"B113","20230507_004200",0.0024581715617332
"B113","20230507_004800",0.00246350673493111
"B113","20230507_005400",0.00260756519791764
"B113","20230507_010000",0.00272365773175337
"B113","20230507_010600",0.0024354214756129
"B113","20230507_011200",0.00242780139323661
"B113","20230507_011800",0.00260483095187156
"B113","20230507_012400",0.00256349728393432
"B113","20230507_013000",0.00258906962666938
"B113","20230507_013600",0.00265877235413347
"B113","20230507_014200",0.00240245192921318
"B113","20230507_014800",0.00243724471052429
"B113","20230507_015400",0.00244735043214848
"B113","20230507_020000",0.00259930736804005
"B113","20230507_020600",0.00235045058210255
"B113","20230507_021200",0.00241969661904991
"B113","20230507_021800",0.00246260647977962
"B113","20230507_022400",0.00258499202488375
"B113","20230507_023000",0.00258449529830243
"B113","20230507_023600",0.00253207046191566
"B113","20230507_024200",0.00240361125385685
"B113","20230507_024800",0.00241514187267005
"B113","20230507_025400",0.00243269627181631
"B113","20230507_030000",0.00262058025700207
"B113","20230507_030600",0.00412445360367775
"B113","20230507_031200",0.0025352470712055
"B113","20230507_031800",0.00252242963303444
"B113","20230507_032400",0.00274833785799302
"B113","20230507_033000",0.00247641525107185
"B113","20230507_033600",0.0024255804336559
"B113","20230507_034200",0.00234242829549903
"B113","20230507_034800",0.00234386495987596
"B113","20230507_035400",0.00258037062659175
"B113","20230507_040000",0.00238562537778866
"B113","20230507_040600",0.00238260557641881
"B113","20230507_041200",0.00259161650095255
"B113","20230507_041800",0.00231409220609461
"B113","20230507_042400",0.00269319083231942
"B113","20230507_043000",0.0022932896355725
"B113","20230507_043600",0.00372898057744695
"B113","20230507_044200",0.00274045440529501
"B113","20230507_044800",0.00413833142239521
"B113","20230507_045400",0.00325004720150277
"B113","20230507_050000",0.00339623785348799
"B113","20230507_050600",0.00321486649829984
"B113","20230507_051200",0.00342295248774583
"B113","20230507_051800",0.00312146751068127
"B113","20230507_052400",0.00448208009616029
"B113","20230507_053000",0.00271590064688323
"B113","20230507_053600",0.0048324660642009
"B113","20230507_054200",0.00253147364987045
"B113","20230507_054800",0.00246506802543891
"B113","20230507_055400",0.00266570483122688
"B113","20230507_060000",0.0025449178438195
"B113","20230507_060600",0.00278823790470483
"B113","20230507_061200",0.00299424852916687
"B113","20230507_061800",0.00328595625126504
"B113","20230507_062400",0.0046160893085666
"B113","20230507_063000",0.00328355241689209
"B113","20230507_063600",0.0037189195915865
"B113","20230507_064200",0.0034709633050279
"B113","20230507_064800",0.00260771444159647
"B113","20230507_065400",0.00272488618640448
"B113","20230507_070000",0.0026869916697026
"B113","20230507_070600",0.00426848807753483
"B113","20230507_071200",0.00472923434415749
"B113","20230507_071800",0.00433985301922814
"B113","20230507_072400",0.00304012254648287
"B113","20230507_073000",0.00247892314338666
"B113","20230507_073600",0.00261363876926831
"B113","20230507_074200",0.00416202994923048
"B113","20230507_074800",0.00371731584205063
"B113","20230507_075400",0.00297583741644844
"B113","20230507_080000",0.00229699704417047
"B113","20230507_080600",0.00261498427590657
"B113","20230507_081200",0.00288719302390251
"B113","20230507_081800",0.00259703748364442
"B113","20230507_082400",0.00310219296562324
"B113","20230507_083000",0.00332508285346725
"B113","20230507_083600",0.00286386928284062
"B113","20230507_084200",0.00280703263340415
"B113","20230507_084800",0.00470445619970721
"B113","20230507_085400",0.00349160965410707
"B113","20230507_090000",0.00432991165695944
"B113","20230507_090600",0.00438739724421084
"B113","20230507_091200",0.00286776186422718
"B113","20230507_091800",0.0030431603782371
"B113","20230507_092400",0.00241126693419645
"B113","20230507_093000",0.00256568938829169
"B113","20230507_093600",0.00354544735835281
"B113","20230507_094200",0.00261774454697004
"B113","20230507_094800",0.00260054408630265
"B113","20230507_095400",0.0056960622746753
"B113","20230507_100000",0.00290570897077765
"B113","20230507_100600",0.00406240545403192
"B113","20230507_101200",0.00437463547237132
"B113","20230507_101800",0.00255443491047379
"B113","20230507_102400",0.00245718890233638
